drugbank_id,drug_name,targets,n_targets,name_normalized,dili_label,is_dili
DB00246,Ziprasidone,"['ADRA1A', 'ADRA1B', 'ADRA2B']",3,ziprasidone,,
DB00248,Cabergoline,"['ADRA2B', 'ADRA1A', 'ADRA1B', 'ADRB2']",4,cabergoline,,
DB00252,Phenytoin,"['SCN8A', 'NR1I2', 'SCN1B']",3,phenytoin,Most-DILI,1.0
DB00255,Diethylstilbestrol,"['ESR1', 'ESRRA', 'NCOA2', 'NR1I2', 'AR', 'SHBG']",6,diethylstilbestrol,,
DB00276,Amsacrine,"['TOP2B', 'ORM1', 'ALB']",3,amsacrine,,
DB00277,Theophylline,"['NT5E', 'ADORA2A', 'PDE4B', 'PDE4A', 'HDAC2', 'HM13', 'NOMO1', 'PARP1']",8,theophylline,,
DB00279,Liothyronine,"['THRA', 'THRB', 'PCNA']",3,liothyronine,,
DB00281,Lidocaine,"['SCN9A', 'EGFR', 'ORM1', 'ORM2']",4,lidocaine,,
DB00282,Pamidronic acid,"['FDPS', 'GGPS1', 'CASP3', 'CASP9']",4,pamidronicacid,,
DB00288,Amcinonide,"['ESRRA', 'NR3C1', 'ANXA1']",3,amcinonide,,
DB00313,Valproic acid,"['ABAT', 'GSK3A', 'ACADSB', 'OGDH', 'ALDH5A1', 'HDAC2', 'PPARA', 'PPARD', 'PPARG', 'HDAC1', 'CDKN1A', 'HGF', 'ODC1']",13,valproicacid,Most-DILI,1.0
DB00316,Acetaminophen,"['PTGS2', 'PTGES3', 'TRPV1']",3,acetaminophen,Most-DILI,1.0
DB00321,Amitriptyline,"['ADRA1A', 'SIGMAR1', 'ADRA1B']",3,amitriptyline,,
DB00328,Indomethacin,"['PTGS2', 'PLA2G2A', 'PPARG', 'GLO1', 'PPARA', 'AKR1C3', 'EIF2AK2']",7,indomethacin,Less-DILI,1.0
DB00331,Metformin,"['ACACB', 'ETFDH', 'PRKAB1', 'GPD1']",4,metformin,No-DILI,0.0
DB00337,Pimecrolimus,"['PPP3CA', 'MTOR', 'FKBP1A']",3,pimecrolimus,,
DB00346,Alfuzosin,"['ADRA1A', 'ADRA1A', 'ADRA1B']",3,alfuzosin,,
DB00363,Clozapine,"['ADRA1A', 'ADRA1B', 'ADRA2B', 'GSTP1', 'GABBR1']",5,clozapine,,
DB00367,Levonorgestrel,"['SRD5A1', 'ESR1', 'AR', 'SHBG', 'NR3C1']",5,levonorgestrel,,
DB00368,Norepinephrine,"['ADRA1A', 'ADRA1B', 'ADRA2B', 'ADRB2', 'PAH']",5,norepinephrine,,
DB00382,Tacrine,"['BCHE', 'ACHE', 'CES1']",3,tacrine,,
DB00390,Digoxin,"['ATP1B1', 'ATP1B2', 'ATP1B3', 'ATP1A1']",4,digoxin,No-DILI,0.0
DB00396,Progesterone,"['NR3C2', 'ESR1', 'CYP17A1', 'ORM1', 'NR3C1', 'AR', 'SHBG']",7,progesterone,,
DB00398,Sorafenib,"['BRAF', 'EGFR', 'RAF1', 'FLT4', 'KDR', 'FLT1', 'PDGFRB', 'FGFR1']",8,sorafenib,,
DB00408,Loxapine,"['ADRA1A', 'ADRA1B', 'ADRA2B']",3,loxapine,,
DB00412,Rosiglitazone,"['PPARG', 'ACSL4', 'PPARA', 'PPARD', 'RXRA', 'RXRB']",6,rosiglitazone,Most-DILI,1.0
DB00421,Spironolactone,"['NR3C2', 'NR3C1', 'AR', 'ESR1', 'NR1I2']",5,spironolactone,No-DILI,0.0
DB00441,Gemcitabine,"['RRM1', 'TYMS', 'CMPK1']",3,gemcitabine,,
DB00449,Dipivefrin,"['ADRA1A', 'ADRB2', 'BCHE', 'ACHE']",4,dipivefrin,,
DB00451,Levothyroxine,"['ITGAV', 'THRA', 'THRB']",3,levothyroxine,No-DILI,0.0
DB00457,Prazosin,"['ADRA1A', 'ADRA1B', 'ADRA2B', 'ADRA1A']",4,prazosin,Less-DILI,1.0
DB00458,Imipramine,"['ADRA1A', 'KCND3', 'ADRA1B', 'ORM2']",4,imipramine,,
DB00459,Acitretin,"['RXRA', 'STAT3', 'RARA', 'RARB', 'RARG', 'RXRB', 'RBP1']",7,acitretin,,
DB00477,Chlorpromazine,"['ADRA1A', 'ADRA1B', 'ADRA1A', 'SMPD1', 'ORM1', 'CALM1']",6,chlorpromazine,Most-DILI,1.0
DB00480,Lenalidomide,"['CRBN', 'CDH5', 'PTGS2']",3,lenalidomide,,
DB00482,Celecoxib,"['PTGS2', 'STAT3', 'NEU1', 'CA2', 'PDPK1']",5,celecoxib,Less-DILI,1.0
DB00491,Miglitol,"['GAA', 'GANAB', 'GANC']",3,miglitol,,
DB00499,Flutamide,"['AR', 'AHR', 'NR1I2']",3,flutamide,Most-DILI,1.0
DB00502,Haloperidol,"['SIGMAR1', 'ADRA1A', 'ADRA2B']",3,haloperidol,,
DB00513,Aminocaproic acid,"['PLG', 'PLAT', 'LPA']",3,aminocaproicacid,,
DB00514,Dextromethorphan,"['SIGMAR1', 'PGRMC1', 'CHRNA4', 'CYBB']",4,dextromethorphan,,
DB00515,Cisplatin,"['A2M', 'TF', 'ATOX1']",3,cisplatin,,
DB00523,Alitretinoin,"['RARA', 'RXRA', 'RARB', 'RXRB', 'RARG', 'IGFBP3']",6,alitretinoin,,
DB00536,Guanidine,"['ALDH2', 'RNASE1', 'DLG4', 'GAMT']",4,guanidine,,
DB00540,Nortriptyline,"['ADRA1A', 'ADRA1B', 'PGRMC1']",3,nortriptyline,,
DB00545,Pyridostigmine,"['F10', 'BCHE', 'ACHE']",3,pyridostigmine,,
DB00548,Azelaic acid,"['SRD5A3', 'SRD5A1', 'AKR1D1', 'SRD5A2']",4,azelaicacid,,
DB00563,Methotrexate,"['TYMS', 'SLC19A1', 'ATIC', 'DHFR']",4,methotrexate,Most-DILI,1.0
DB00570,Vinblastine,"['TUBB2A', 'TUBA1A', 'TUBB', 'TUBG1', 'JUN']",5,vinblastine,,
DB00573,Fenoprofen,"['PTGS2', 'PPARA', 'PPARG']",3,fenoprofen,,
DB00575,Clonidine,"['AOC3', 'ADRA2B', 'ADRA1A', 'ADRA1B']",4,clonidine,,
DB00583,Levocarnitine,"['CPT1B', 'XDH', 'CES1', 'CPT1A', 'CRAT', 'SLC25A29', 'SLC25A20', 'CPT2']",8,levocarnitine,,
DB00591,Fluocinolone acetonide,"['NR3C1', 'ANXA1', 'ANXA2', 'ANXA5']",4,fluocinoloneacetonide,,
DB00594,Amiloride,"['SCNN1A', 'AOC1', 'SLC9A1', 'PLAU']",4,amiloride,,
DB00605,Sulindac,"['PTGS2', 'AKR1B1', 'MAPK3', 'PPARD', 'AKR1B10']",5,sulindac,Most-DILI,1.0
DB00608,Chloroquine,"['GSTA2', 'HMGB1', 'GSTM1']",3,chloroquine,,
DB00619,Imatinib,"['BCR', 'MCL1', 'PDGFRA', 'ABL1', 'PDGFRB', 'CSF1R']",6,imatinib,,
DB00622,Nicardipine,"['ADRA1A', 'ADRA1B', 'CACNA1H', 'CALM1']",4,nicardipine,,
DB00624,Testosterone,"['AR', 'ESR1', 'NR3C2']",3,testosterone,,
DB00627,Niacin,"['DGAT2', 'QPRT', 'NNMT']",3,niacin,Most-DILI,1.0
DB00630,Alendronic acid,"['FDPS', 'PTPRS', 'ATP6V1A']",3,alendronicacid,,
DB00631,Clofarabine,"['RRM2B', 'POLA1', 'RRM1']",3,clofarabine,,
