drugbank_id,drug_name,drug_type,gene_symbol,actions,in_liver_lcc
DB12094,Semapimod,small molecule,RAF1,modulator,True
DB12096,PF-05175157,small molecule,ACACB,inhibitor,True
DB12098,L-Baclofen,small molecule,GABBR1,agonist,True
DB12099,"UK-396,082",small molecule,CPB2,inhibitor,True
DB12100,Abediterol,small molecule,ADRB2,agonist,True
DB12101,Iberdomide,small molecule,CRBN,inhibitor,True
DB12108,Taselisib,small molecule,PIK3CA,modulator,True
DB12109,Devimistat,small molecule,OGDH,modulator,True
DB12114,Poziotinib,small molecule,ERBB2,inhibitor,True
DB12114,Poziotinib,small molecule,EGFR,inhibitor;binder,True
DB12116,Epigallocatechin gallate,small molecule,FASN,inhibitor,True
DB12116,Epigallocatechin gallate,small molecule,STAT3,inhibitor,True
DB12116,Epigallocatechin gallate,small molecule,MMP14,inhibitor,True
DB12116,Epigallocatechin gallate,small molecule,MMP2,inhibitor,True
DB12116,Epigallocatechin gallate,small molecule,SQLE,inhibitor,True
DB12116,Epigallocatechin gallate,small molecule,TGM2,inhibitor,True
DB12116,Epigallocatechin gallate,small molecule,AHR,,True
DB12116,Epigallocatechin gallate,small molecule,DNMT1,inhibitor,True
DB12116,Epigallocatechin gallate,small molecule,DHFR2,,True
DB12118,Sotatercept,biotech,ACVR2A,binder,True
DB12118,Sotatercept,biotech,ACVR1B,binder,True
DB12120,Avoralstat,small molecule,KNG1,inhibitor,True
DB12121,Entospletinib,small molecule,SYK,inhibitor,True
DB12124,Namitecan,small molecule,TOP1,inhibitor,True
DB12125,Dianicline,small molecule,CHRNA4,modulator,True
DB12129,Tideglusib,small molecule,GSK3B,antagonist,True
DB12134,Gepotidacin,small molecule,TOP2B,inhibitor,True
DB12137,GSK-256066,small molecule,PDE4A,inhibitor,True
DB12139,Alisporivir,small molecule,CAMLG,inhibitor,True
DB12140,Dilmapimod,small molecule,MAPK14,inhibitor,True
DB12141,Gilteritinib,small molecule,AXL,inhibitor,True
DB12146,Rigosertib,small molecule,PLK1,modulator,True
DB12147,Erdafitinib,small molecule,FGFR1,inhibitor,True
DB12147,Erdafitinib,small molecule,FGFR2,inhibitor,True
DB12147,Erdafitinib,small molecule,FGFR3,inhibitor,True
DB12147,Erdafitinib,small molecule,FGFR4,inhibitor,True
DB12147,Erdafitinib,small molecule,CSF1R,substrate,True
DB12147,Erdafitinib,small molecule,PDGFRA,substrate,True
DB12147,Erdafitinib,small molecule,PDGFRB,substrate,True
DB12147,Erdafitinib,small molecule,KDR,substrate,True
DB12150,Pelubiprofen,small molecule,PTGS2,modulator,True
DB12151,Brincidofovir,small molecule,POLD4,inhibitor,True
DB12151,Brincidofovir,small molecule,POLD1,inhibitor,True
DB12151,Brincidofovir,small molecule,POLB,inhibitor,True
DB12151,Brincidofovir,small molecule,POLG2,inhibitor,True
DB12151,Brincidofovir,small molecule,POLG,inhibitor,True
DB12151,Brincidofovir,small molecule,POLE2,inhibitor,True
DB12154,Itacitinib,small molecule,JAK2,inhibitor,True
DB12154,Itacitinib,small molecule,JAK1,inhibitor,True
DB12155,Napabucasin,small molecule,STAT3,inhibitor,True
DB12157,Fasinumab,biotech,NGF,inhibitor,True
DB12159,Dupilumab,biotech,IL4R,inhibitor;antibody,True
DB12167,LY-3023414,small molecule,MTOR,modulator,True
DB12167,LY-3023414,small molecule,PIK3CA,modulator,True
DB12174,CUDC-101,small molecule,EGFR,modulator,True
DB12174,CUDC-101,small molecule,ERBB2,modulator,True
DB12180,Apitolisib,small molecule,MTOR,modulator,True
DB12181,Dalcetrapib,small molecule,CETP,inhibitor,True
DB12183,Sapitinib,small molecule,ERBB2,inhibitor,True
DB12185,Exatecan,small molecule,TOP1,inhibitor,True
DB12186,SRT-2104,small molecule,SIRT1,modulator,True
DB12189,Etrolizumab,biotech,ITGB7,binder;antibody,True
DB12191,Obatoclax,small molecule,MCL1,inhibitor,True
DB12191,Obatoclax,small molecule,BCL2L1,inhibitor,True
DB12199,TRV-120027,small molecule,AGTR1,antagonist,True
DB12200,Tivantinib,small molecule,MET,inhibitor,True
DB12202,Zalutumumab,biotech,EGFR,antagonist,True
DB12203,Tozadenant,small molecule,ADORA2A,antagonist,True
DB12204,Terbogrel,small molecule,TBXA2R,antagonist,True
DB12206,N-6022,small molecule,CBR1,inhibitor,True
DB12218,Capivasertib,small molecule,AKT1,inhibitor,True
DB12218,Capivasertib,small molecule,AKT2,inhibitor,True
DB12218,Capivasertib,small molecule,AKT3,inhibitor,True
DB12222,Lurtotecan,small molecule,TOP1,inhibitor,True
DB12226,Terameprocol,small molecule,SP1,modulator,True
DB12228,Telcagepant,small molecule,CALCRL,antagonist,True
DB12228,Telcagepant,small molecule,CALCA,,True
DB12234,BMS-214662,small molecule,FNTA,modulator,True
DB12234,BMS-214662,small molecule,FNTB,modulator,True
DB12235,Estetrol,small molecule,ESR1,agonist;modulator;regulator,True
DB12239,Balicatib,small molecule,CTSK,inhibitor,True
DB12240,Polatuzumab vedotin,biotech,CD79B,antibody,True
DB12244,CP-601927,small molecule,CHRNA4,modulator,True
DB12247,AZD-4547,small molecule,FGFR1,modulator,True
DB12248,Tulobuterol,small molecule,ADRB2,regulator,True
DB12253,GDC-0810,small molecule,ESR1,modulator,True
DB12255,Vadadustat,small molecule,EGLN1,inhibitor,True
DB12255,Vadadustat,small molecule,EGLN2,inhibitor,True
DB12255,Vadadustat,small molecule,HIF1A,stabilization,True
DB12255,Vadadustat,small molecule,EPAS1,stabilization,True
DB12263,Begacestat,small molecule,APH1B,modulator,True
DB12263,Begacestat,small molecule,NCSTN,modulator,True
DB12263,Begacestat,small molecule,APH1A,modulator,True
DB12263,Begacestat,small molecule,PSENEN,modulator,True
DB12263,Begacestat,small molecule,PSEN1,modulator,True
DB12267,Brigatinib,small molecule,EGFR,inhibitor,True
DB12267,Brigatinib,small molecule,ABL1,inhibitor,True
DB12267,Brigatinib,small molecule,INSR,binding,True
DB12267,Brigatinib,small molecule,MET,inhibitor,True
DB12267,Brigatinib,small molecule,ERBB2,inhibitor,True
DB12270,Losmapimod,small molecule,MAPK14,inhibitor,True
DB12274,Aducanumab,biotech,APP,antagonist;binder;antibody,True
DB12275,Seviteronel,small molecule,CYP17A1,inhibitor,True
DB12276,Apomine,small molecule,NR1H4,agonist,True
DB12278,Propiverine,small molecule,ADRA1A,antagonist,True
DB12279,OBP-801,small molecule,HDAC1,inhibitor,True
DB12280,AZD-5423,small molecule,NR3C1,agonist,True
DB12282,Defactinib,small molecule,PTK2,inhibitor,True
DB12285,Verubecestat,small molecule,BACE1,inhibitor,True
DB12289,Darexaban,small molecule,F10,inhibitor,True
DB12291,Tacedinaline,small molecule,HDAC1,inhibitor,True
DB12295,Evodenoson,small molecule,ADORA2A,agonist,True
DB12298,5-Hydroxymethylfurfural,small molecule,HBA1,modulator,True
DB12302,CP-724714,small molecule,ERBB2,inhibitor,True
DB12307,Foretinib,small molecule,MET,modulator,True
DB12307,Foretinib,small molecule,KDR,modulator,True
DB12307,Foretinib,small molecule,HGF,,True
DB12314,Chlorproguanil,small molecule,PDF,inhibitor,True
DB12318,BMS-599626,small molecule,EGFR,inhibitor,True
DB12318,BMS-599626,small molecule,ERBB2,inhibitor,True
DB12319,Benzbromarone,small molecule,ABCC1,stimulator,True
DB12319,Benzbromarone,small molecule,CYP2C9,inhibitor,True
DB12319,Benzbromarone,small molecule,CYP2C19,inhibitor,True
DB12321,Ifetroban,small molecule,TBXA2R,antagonist,True
DB12323,Radotinib,small molecule,ABL1,antagonist,True
DB12325,Idasanutlin,small molecule,MDM2,modulator,True
DB12326,Antroquinonol,small molecule,DNMT1,inhibitor,True
DB12328,Cantharidin,small molecule,PPP1CA,inhibitor,True
DB12328,Cantharidin,small molecule,AHR,agonist,True
DB12332,Rucaparib,small molecule,PARP1,inhibitor,True
DB12332,Rucaparib,small molecule,PARP2,inhibitor,True
DB12332,Rucaparib,small molecule,PARP3,inhibitor,True
DB12334,Milataxel,small molecule,TUBB,,True
DB12339,Radezolid,small molecule,RRBP1,inhibitor,True
DB12340,Navitoclax,small molecule,BCL2L1,inhibitor,True
DB12340,Navitoclax,small molecule,CCND1,inhibitor,True
DB12340,Navitoclax,small molecule,BCL2L2,inhibitor,True
DB12340,Navitoclax,small molecule,BAD,,True
DB12348,"5-amino-1,3,4-thiadiazole-2-thiol",small molecule,CA2,inhibitor,True
DB12350,Rostafuroxin,small molecule,ATP1B1,modulator,True
DB12350,Rostafuroxin,small molecule,ATP1B2,modulator,True
DB12350,Rostafuroxin,small molecule,ATP1B3,modulator,True
DB12350,Rostafuroxin,small molecule,ATP1A1,modulator,True
DB12353,Ulodesine,small molecule,PNP,inhibitor,True
DB12354,Imrecoxib,small molecule,PTGS2,inhibitor,True
DB12359,BIIB021,small molecule,HSP90AA1,inhibitor,True
DB12364,Betrixaban,small molecule,F10,inhibitor,True
DB12369,Sotrastaurin,small molecule,PRKCA,inhibitor,True
DB12371,Siponimod,small molecule,S1PR1,modulator,True
DB12375,Oglemilast,small molecule,PDE4A,inhibitor,True
DB12375,Oglemilast,small molecule,PDE4B,inhibitor,True
DB12378,Apricoxib,small molecule,PTGS2,inhibitor,True
DB12379,Indirubin,small molecule,CYP1A1,substrate,True
DB12379,Indirubin,small molecule,AHR,agonist,True
DB12380,GDC-0152,small molecule,XIAP,modulator,True
DB12381,Merestinib,small molecule,MET,modulator,True
DB12384,Silatecan,small molecule,TOP1,inhibitor,True
DB12385,10-hydroxycamptothecin,small molecule,TOP1,inhibitor,True
DB12387,OSI-027,small molecule,MTOR,inhibitor,True
DB12390,Seladelpar,small molecule,PPARD,agonist,True
DB12392,Resminostat,small molecule,HDAC1,inhibitor,True
DB12399,Polmacoxib,small molecule,PTGS2,inhibitor,True
DB12399,Polmacoxib,small molecule,CA2,inhibitor,True
DB12400,Voxtalisib,small molecule,MTOR,inhibitor,True
DB12410,Sabarubicin,small molecule,TOP2B,modulator,True
DB12411,Bemcentinib,small molecule,AXL,inhibitor,True
DB12412,Gemigliptin,small molecule,DPP4,inhibitor,True
