dilirank_name,Z_mito,k_mito,Z_bile,k_bile,Z_reactive,k_reactive,Proposed_Mechanism,Max_Z_Mech,is_dili,tmc_prob,Mechanism_Declaration
Azithromycin,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.3794480577856016,Unexplained / Idiosyncratic
Bacitracin,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,0,0.3749748555276075,Unexplained / Idiosyncratic
Baclofen,-0.1810265333029449,0,-0.1441232575024438,0,-0.1725163898355885,0,Unexplained,-0.1441232575024438,1,0.4638255870082828,Unexplained / Idiosyncratic
Baloxavir marboxil,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,0,0.4150576853877248,Unexplained / Idiosyncratic
Benazepril hydrochloride,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.5433516619235561,Unexplained / Idiosyncratic
Bendazac,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,1,0.6358156474731367,Unexplained / Idiosyncratic
Bendroflumethiazide,-0.2560101785464095,0,-0.2038210654133459,0,-0.2439750182371333,0,Unexplained,-0.2038210654133459,1,0.6122762721148358,Unexplained / Idiosyncratic
Benoxaprofen,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.4539918814459832,Unexplained / Idiosyncratic
Benzbromarone,-0.2337042495679893,0,-0.186062325369376,0,4.3118147028537805,1,Reactive,4.3118147028537805,1,0.8091879792795623,Reactive Met. (Z=4.3)
Benzonatate,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.4592464277735721,Unexplained / Idiosyncratic
Benzphetamine hydrochloride,-0.20903143546584,0,-0.1664192030310433,0,-0.1992047682223989,0,Unexplained,-0.1664192030310433,0,0.418734029246414,Unexplained / Idiosyncratic
