uniprot_id,gene_symbol
P41595,HTR2B
P42261,GRIA1
P42262,GRIA2
P42263,GRIA3
P42330,AKR1C3
P42336,PIK3CA
P42338,PIK3CB
P42345,MTOR
P42574,CASP3
P42593,fadH
P42680,TEC
P42681,TXK
P42684,ABL2
P42685,FRK
P42898,MTHFR
P42971,pbpC
P43088,PTGFR
P43116,PTGER2
P43119,PTGIR
P43155,CRAT
P43166,CA7
P43220,GLP1R
P43681,CHRNA4
P43700,gyrA
P43702,parC
P45954,ACADSB
P45983,MAPK8
P46059,SLC15A1
P46098,HTR3A
P46663,BDKRB1
P47869,GABRA2
P47870,GABRB2
P47898,HTR5A
P47901,AVPR1B
P47989,XDH
P48039,MTNR1A
P48048,KCNJ1
P48050,KCNJ4
P48058,GRIA4
P48169,GABRA4
P48443,RXRG
P48547,KCNC1
P48549,KCNJ3
P48551,IFNAR2
P48637,GSS
P48764,SLC9A3
P49019,HCAR3
P49069,CAMLG
P49281,SLC11A2
P49286,MTNR1B
P49327,FASN
P49642,PRIM1
P49721,PSMB2
P49747,COMP
P49788,RARRES1
P49840,GSK3A
P49841,GSK3B
P49895,DIO1
P50052,AGTR2
P50135,HNMT
P50406,HTR6
P50416,CPT1A
P50453,SERPINB9
P50579,METAP2
P50591,TNFSF10
P50618,nrdI
P50740,fni
P50859,ERG11
P50993,ATP1A2
P51164,ATP4B
P51168,SCNN1B
P51170,SCNN1G
P51172,SCNN1D
P51451,BLK
P51580,TPMT
P51635,AKR1C2
P51648,ALDH3A2
P51649,ALDH5A1
P51681,CCR5
P51692,STAT5B
P51787,KCNQ1
P51788,CLCN2
P51812,RPS6KA3
P51813,BMX
P51857,AKR1D1
P52209,PGD
P52333,JAK3
P52647,ydbK
P53350,PLK1
P53355,DAPK1
P54219,SLC18A1
P54284,CACNB3
P54289,CACNA2D1
P54709,ATP1B3
P54750,PDE1A
P54756,EPHA5
P54760,EPHB4
P54965,cbh
P55017,SLC12A3
P55038,gltS
P55157,MTTP
P55287,CDH11
P56122,aroC
P56282,POLE2
P56524,HDAC4
P56817,BACE1
P59676,pbpX
P60568,IL2
P61024,CKS1B
P61073,CXCR4
P61949,fldA
P62508,ESRRG
P62714,PPP2CB
P62937,PPIA
P62942,FKBP1A
P63000,RAC1
P63098,PPP3R1
P63252,KCNJ2
P63316,TNNC1
P63462,azoR
P67775,PPP2CA
P68366,TUBA4A
P68371,TUBB4B
P68400,CSNK2A1
P69772,ecdB
P69905,HBA1
P71278,onr
P76577,pbpC
P78348,ASIC1
P78508,KCNJ10
P78527,PRKDC
P78540,ARG2
P80025,CTSH
P80404,ABAT
P80457,IL18BP1
P83223,fccA
P94692,por
P95029,fas
P98066,TNFAIP6
P98164,LRP2
P98194,ATP2C1
P99999,CYCS
P9WGR1,inhA
P9WGY7,rpoC
P9WGY9,rpoB
P9WIE5,katG
P9WNL5,embC
P9WNL7,embB
P9WNL9,embA
P9WNX1,folA
Q00534,CDK6
Q00653,NFKB2
Q00975,CACNA1B
Q01064,PDE1B
Q01082,SPTBN1
Q01201,RELB
Q01234,nfsB
Q01668,CACNA1D
Q01718,MC2R
Q01959,SLC6A3
Q02108,GUCY1A1
Q02127,DHODH
Q02153,GUCY1B1
Q02156,PRKCE
Q02218,OGDH
Q02641,CACNB1
Q02763,TEK
Q02809,PLOD1
Q02846,GUCY2D
Q02880,TOP2B
Q03154,ACY1
Q03181,PPARD
Q03393,PTS
Q03405,PLAUR
Q03431,PTH1R
Q03736,ctaC
Q04206,RELA
Q04609,FOLH1
Q04707,ponA
Q04760,GLO1
Q04828,AKR1C1
Q04864,REL
Q04912,MST1R
Q05318,L
Q05397,PTK2
Q05486,P
Q05586,GRIN1
Q05940,SLC18A2
Q06187,BTK
Q06203,PPAT
Q06278,AOX1
Q06432,CACNG1
Q07343,PDE4B
Q07699,SCN1B
Q07806,mrcA
Q07820,MCL1
Q07864,POLE
Q07869,PPARA
Q08209,PPP3CA
Q08289,CACNB2
Q08345,DDR1
Q08493,PDE4C
Q08499,PDE4D
Q08881,ITK
Q09428,ABCC8
Q09470,KCNA1
Q12791,KCNMA1
Q12809,KCNH2
