drugbank_id,drug_name,dilirank_name,n_targets,dilirank,is_dili,Z,I_T,mu_T,pool_size,smiles,targets,target_list,logp,mw,hbd,hba,tpsa,rotatable,k,n_dili_hits,n_cyp_hits,n_tf_hits,n_transporter_hits,n_network_hits,network_fraction,dili_fraction,has_network_targets,has_transporter_targets,high_logp,ecnp_z,ecnp_eligible,y_pred_full
DB01577,Metamfetamine,Methamphetamine hydrochloride,4,vNo-DILI-concern,0,-0.1265981667787962,0.1032161833711832,0.1143308969530867,353,CC(CC1=CC=CC=C1)NC.Cl,"['ADRA1B', 'ADRA2B', 'MAOA', 'MAOB']","['ADRA1B', 'ADRA2B', 'MAOA', 'MAOB']",2.2588000000000004,185.69799999999998,1.0,1.0,12.03,3.0,4,0,0,0,0,0,0.0,0.0,0,0,0,-0.1265981667787962,0,0.50560397
DB01586,Ursodeoxycholic acid,Deoxycholic acid,3,vNo-DILI-concern,0,2.8308392317884685,0.3705551596614105,0.2319733092330972,318,CC(CCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C,"['AKR1C2', 'BLVRA', 'NR1H4']","['AKR1C2', 'BLVRA', 'NR1H4']",4.477900000000006,392.58000000000015,3.0,3.0,77.76,4.0,3,1,0,0,0,1,0.3333333333333333,0.3333333333333333,1,0,1,2.8308392317884685,1,0.25099772
DB01708,Prasterone,Progesterone,7,vLess-DILI-concern,1,7.342381526134787,0.7066959679297662,0.278434132446711,690,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,"['G6PD', 'ESR1', 'AR', 'PPARA', 'SIGMAR1', 'NR1I2', 'NR1I3']","['G6PD', 'ESR1', 'AR', 'PPARA', 'SIGMAR1', 'NR1I2', 'NR1I3']",4.723500000000005,314.4690000000001,0.0,2.0,34.14,1.0,7,3,0,3,0,3,0.42857142857142855,0.42857142857142855,1,0,1,7.342381526134787,1,0.72194314
DB01812,"Adenosine 3',5'-diphosphate",Adenosine,3,vNo-DILI-concern,0,0.0107563964697618,0.1539079215499771,0.1528781649830577,379,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,"['RNASE1', 'SULT2A1', 'SULT1E1']","['RNASE1', 'SULT2A1', 'SULT1E1']",-1.979999999999999,267.245,4.0,9.0,139.54000000000002,2.0,3,0,0,0,0,0,0.0,0.0,0,0,0,0.0107563964697618,0,0.5216756
DB01942,Formic acid,Folic acid,9,vNo-DILI-concern,0,1.9199183038445131,0.3139620121178693,0.1701865671087059,1182,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,"['ALAD', 'CA2', 'HMOX1', 'RNASE1', 'CTBP1', 'CASK', 'ACYP2', 'GPHN', 'CYTH2']","['ALAD', 'CA2', 'HMOX1', 'RNASE1', 'CTBP1', 'CASK', 'ACYP2', 'GPHN', 'CYTH2']",-0.044799999999998674,441.40400000000017,6.0,9.0,213.28,9.0,9,1,0,0,0,1,0.1111111111111111,0.1111111111111111,1,0,0,1.9199183038445131,1,0.28630936
DB02266,Flufenamic acid,Mefenamic acid,5,vMost-DILI-concern,1,3.4927574480260537,0.5293303748141275,0.2963846551113775,318,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,"['AR', 'PTGS2', 'AKR1C3', 'PPARA', 'PPARG']","['AR', 'PTGS2', 'AKR1C3', 'PPARA', 'PPARG']",3.7452400000000017,241.29,2.0,2.0,49.33,3.0,5,2,0,1,0,2,0.4,0.4,1,0,1,3.4927574480260537,1,0.7889458
DB02383,Tolrestat,Tolrestat,4,vMost-DILI-concern,1,-0.1178273795838717,0.0742303111510728,0.088788209965954,658,CN(CC(=O)O)C(=S)C1=CC=CC2=C1C=CC(=C2C(F)(F)F)OC,"['SIGMAR1', 'AKR1B1', 'AKR1A1', 'AKR1B10']","['SIGMAR1', 'AKR1B1', 'AKR1A1', 'AKR1B10']",3.5591000000000017,357.35300000000007,1.0,3.0,49.77000000000001,4.0,4,0,0,0,0,0,0.0,0.0,0,0,1,-0.1178273795838717,0,0.98671234
DB02546,Vorinostat,Vorinostat,6,vNo-DILI-concern,0,0.0542190775213173,0.0529831436663484,0.0457060466216027,461,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,"['HDAC1', 'HDAC2', 'HDAC3', 'HDAC6', 'HDAC8', 'HDAC1']","['HDAC1', 'HDAC2', 'HDAC3', 'HDAC6', 'HDAC8', 'HDAC1']",2.4710999999999994,264.3249999999999,3.0,3.0,78.43,8.0,6,0,0,0,0,0,0.0,0.0,0,0,0,0.0542190775213173,0,0.017162297
DB02659,Cholic Acid,Folic acid,17,vNo-DILI-concern,0,-1.2266445854326016,0.4191507198833699,0.5589746795848047,1067,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,"['FECH', 'CES1', 'ADH1C', 'COX4I1', 'MT-CO1', 'MT-CO2', 'MT-CO3', 'COX5A', 'COX5B', 'COX6C', 'COX7B', 'COX7C', 'COX8A', 'COX6A2', 'COX6B1', 'COX7A1', 'NR1H4']","['FECH', 'CES1', 'ADH1C', 'COX4I1', 'MT-CO1', 'MT-CO2', 'MT-CO3', 'COX5A', 'COX5B', 'COX6C', 'COX7B', 'COX7C', 'COX8A', 'COX6A2', 'COX6B1', 'COX7A1', 'NR1H4']",-0.044799999999998674,441.40400000000017,6.0,9.0,213.28,9.0,17,1,0,0,0,1,0.058823529411764705,0.058823529411764705,1,0,0,-1.2266445854326016,1,0.024547955
DB03366,Imidazole,Tinidazole,5,vLess-DILI-concern,1,0.7489778154404158,0.1411733298641893,0.0875046782741898,636,CCS(=O)(=O)CCN1C(=NC=C1[N+](=O)[O-])C,"['AK2', 'PIM1', 'LTA4H', 'GPHN', 'CYCS']","['AK2', 'PIM1', 'LTA4H', 'GPHN', 'CYCS']",0.5344199999999997,247.27599999999998,0.0,6.0,95.1,5.0,5,0,0,0,0,0,0.0,0.0,0,0,0,0.7489778154404158,0,0.9658469
