dilirank_name,norm_name,is_dili
Prucalopride succinate,prucalopride,0
Pyrantel pamoate,pyrantel pamoate,0
Pyrazinamide,pyrazinamide,1
Pyridoxine hydrochloride,pyridoxine,0
Pyrimethamine,pyrimethamine,1
Quazepam,quazepam,0
Quetiapine fumarate,quetiapine,1
Quinapril hydrochloride,quinapril,1
Quinidine gluconate,quinidine gluconate,1
Quinine sulfate,quinine,1
Rabeprazole sodium,rabeprazole,1
Radium ra-223 dichloride,radium ra-223 dichloride,0
Raloxifene hydrochloride,raloxifene,1
Raltegravir potassium,raltegravir,1
Ramelteon,ramelteon,0
Ramipril,ramipril,1
Ranitidine hydrochloride,ranitidine,1
Ranolazine,ranolazine,0
Rasburicase,rasburicase,0
Regadenoson,regadenoson,0
Remdesivir,remdesivir,1
Remifentanil hydrochloride,remifentanil,1
Remimazolam besylate,remimazolam besylate,0
Repaglinide,repaglinide,1
Reserpine,reserpine,0
Reteplase,reteplase,0
Ribavirin,ribavirin,1
Ribociclib succinate,ribociclib,1
Riboflavin 5'-phosphate,riboflavin 5'-phosphate,0
Rifabutin,rifabutin,1
Rifampin,rifampicin,1
Rifamycin sodium,rifamycin,0
Rilonacept,rilonacept,0
Rilpivirine hydrochloride,rilpivirine,1
Riluzole,riluzole,1
Rimantadine hydrochloride,rimantadine,0
Rimegepant sulfate,rimegepant,0
Riociguat,riociguat,0
Risdiplam,risdiplam,0
Ritonavir,ritonavir,1
Rivaroxaban,rivaroxaban,1
Rivastigmine tartrate,rivastigmine,1
Rizatriptan benzoate,rizatriptan benzoate,1
Rocuronium bromide,rocuronium,0
Roflumilast,roflumilast,0
Rolapitant hydrochloride,rolapitant,0
Romiplostim,romiplostim,0
Ropinirole hydrochloride,ropinirole,1
Rosuvastatin calcium,rosuvastatin calcium,1
Rubidium chloride rb-82,rubidium rb-82,0
Safinamide mesylate,safinamide,0
Salsalate,salsalate,1
Sapropterin dihydrochloride,sapropterin dihydrochloride,0
Saquinavir mesylate,saquinavir,1
Sarecycline hydrochloride,sarecycline,0
Sargramostim,sargramostim,0
Saxagliptin hydrochloride,saxagliptin,1
Scopolamine,scopolamine,0
Secretin synthetic human,secretin synthetic human,0
Selegiline hydrochloride,selegiline,0
Selexipag,selexipag,0
Semaglutide,semaglutide,1
Sertraline hydrochloride,sertraline,1
Setmelanotide acetate,setmelanotide,0
Sevelamer hydrochloride,sevelamer,0
Sibutramine hydrochloride,sibutramine,1
Sildenafil citrate,sildenafil,1
Simethicone-cellulose,simethicone-cellulose,0
Sincalide,sincalide,0
Sirolimus,sirolimus,1
Sitagliptin phosphate,sitagliptin,1
Sitaxsentan,sitaxsentan,1
Sodium bicarbonate,sodium bicarbonate,0
Sodium fluoride f-18,sodium fluoride f-18,0
Sodium lactate,sodium lactate,0
Sodium nitroprusside,sodium nitroprusside,0
Sodium oxybate,sodium oxybate,0
Sodium polystyrene sulfonate,sodium polystyrene sulfonate,0
Sodium thiosulfate,sodium thiosulfate,0
Sodium zirconium cyclosilicate,sodium zirconium cyclosilicate,0
Sofosbuvir,sofosbuvir,0
Solifenacin succinate,solifenacin,1
Solriamfetol hydrochloride,solriamfetol,0
Somatropin,somatropin,0
Sorafenib tosylate,sorafenib tosylate,1
Sorbitol,sorbitol,0
Stavudine,stavudine,1
Sterile water,sterile water,0
Stiripentol,stiripentol,0
Streptomycin sulfate,streptomycin,0
Succimer,succimer,1
Succinylcholine chloride,succinylcholine,0
