drugbank_id,drug_name,dilirank_name,n_targets,dilirank,is_dili,Z,I_T,mu_T,pool_size
DB11763,Momelotinib,Erlotinib hydrochloride,5,vMost-DILI-concern,1,-0.012518296971260523,0.04743362649654641,0.04909939312033028,358
DB12025,Triptolide,Triprolidine hydrochloride,5,vNo-DILI-concern,0,0.1583474321869798,0.08460328420097601,0.06289013044335492,414
DB12147,Erdafitinib,Ceritinib,8,vMost-DILI-concern,1,0.04371611123031414,0.1250895840141243,0.11990083666483435,1012
DB12483,Copanlisib,Copanlisib dihydrochloride,3,vNo-DILI-concern,0,-0.03383810425610249,0.0367400654799004,0.0412270317815083,55
DB12582,Piperine,Paliperidone,3,vLess-DILI-concern,1,0.9336022179504225,0.2849645652747167,0.19925302838715997,150
DB12645,Givinostat,Vorinostat,3,vNo-DILI-concern,0,-0.03459989620097816,0.030657512873094598,0.03498312919309142,56
DB13616,Melagatran,Ximelagatran,4,vMost-DILI-concern,1,2.196772769140789,0.455843944006952,0.21117588479758617,390
DB13873,Fenofibric acid,Fenofibric acid,6,vLess-DILI-concern,1,2.726313338278568,0.5259996170681062,0.3022221165236197,514
DB13944,Testosterone enanthate,Testosterone enanthate,3,vMost-DILI-concern,1,-0.20554571384287787,0.0618812836860937,0.08374623133223977,382
DB13956,Estradiol valerate,Estradiol valerate,8,vLess-DILI-concern,1,1.1980061950586627,0.36432675196119124,0.2723075295678592,786
DB14185,Aripiprazole lauroxil,Aripiprazole lauroxil,3,vLess-DILI-concern,1,-0.002670790108699019,0.0401407873989792,0.04051756846367185,244
DB14509,Lithium carbonate,Lanthanum carbonate,3,vNo-DILI-concern,0,0.05339297529895901,0.0271048849097816,0.02059943990498712,239
DB14539,Hydrocortisone acetate,Hydrocortisone acetate,3,vNo-DILI-concern,0,-0.20068788212224664,0.1053024419333509,0.11571557569037776,376
DB14542,Hydrocortisone phosphate,Hydrocortisone acetate,3,vNo-DILI-concern,0,-0.20068788212224664,0.1053024419333509,0.11571557569037776,376
DB15035,Zanubrutinib,Zanubrutinib,10,vMost-DILI-concern,1,0.087672706212784,0.12578312472123482,0.11448233812054653,1104
DB15588,Ursolic acid,Folic acid,3,vNo-DILI-concern,0,-0.011966424914545274,0.12091416874994719,0.12187473676009591,382
DB16159,Esflurbiprofen,Flurbiprofen sodium,7,vLess-DILI-concern,1,0.7654301160556056,0.3965255277940871,0.3067409252349452,927
DB16407,Azvudine,Stavudine,3,vMost-DILI-concern,1,1.4405465816449947,0.2202451509527361,0.09292543612851534,255
